record_id,scientificName,Species_Status,Extinction.extirpation,Record_certainty,Reference,Quote,Year_last_record_min,Year_last_record_max,Place_last_record,Coordinates_used_for_centre_point,Coordinates_accuracy,Abbot_fox,buffer_distance,centroid_Longitude,centroid_Latitude,predator,max_arrival,min_arrival,attributed_to,min_years_since,max_years_since
pop_1,Antechinomys laniger,Least Concern,Region,Confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.","""""The year of last known record in the Nullarbor region is shown in parentheses: Isoodon auratus (1922), Onychogalea lunata (1927-28), Antechinomys laniger (1927-28), Bettongia lesueur (1928), Dasycercus cristicauda (1928), Bettongia penicillata (1938), Perameles bougainville (1938), Macrotis lagotis (1938), Dasyurus geoffroii (1938) and Leporillus conditor (1938) (Brooker 1977; Boscacci et al. 1987).",1927,1928,Nullarbor,Nullarbor,Region,,Regional polygon,127.6237617,-30.91428508,Cats,1890,1870,Cats,37,58
pop_2,Antechinomys laniger,Least Concern,Region,Confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.","""""Canning Stock Route, Great Sandy Desert, Western Australia 1930-31: """"Lipfert collected 14 species of native mammal (Abbott 2013): Dasyurus geoffroii (well 46), Dasycercus cristicauda/blythi (wells 26-29, 31, 33-36, 41-47, 49), Phascogalec alura( well 44), Notoryctesc aurinus (well 43), Antechinomys laniger (Sturt Creek), Sminthopsis hirtipes (well 29), S. youngsoni (wells 24, 26), Isoodon auratus (wells 31, 33, 41, 43-46), Perameles eremiana (wells 45-46), Macrotis lagotis (well 31), Lagorchestehs irsutus (wells 24, 26, 28-29, 44-45), Trichosurus vulpecula (well 43), and Notomys alexis (wells 24, 26, 43). All of these wells lie to the north of the Tropic of Capricorn, a region in which foxes had not been recorded in 1930-31.""""",1930,1931,"Sturt Creek, WA","Sturt Creek, WA",Place,,10000 m,127.6673126,-19.5397064,Cats,1890,1880,Cats,40,51
pop_3,Bettongia anhydra,Globally extinct,Global,Confirmed,IUCN 2023,"""""The Desert Bettong is known from a single modern specimen, collected in 1933 and has not been recorded alive since then, despite extensive surveys. The date of extinction is unknown, but was possibly in the 1950s or 1960s as Woylie Bettongia penicillata and Boodie B. lesueur survived in the Tanami Desert until c. 1960 (Burbidge et al. 1988).""""",1933,1933,"McEwin Hills, Lake Mackay, western NT","McEwin Hills, Lake Mackay, western NT",Place,,10000 m,129.7499865,-22.01669321,Cats,1890,1880,Cats,43,53
pop_4,Bettongia gaimardi,Extinct from mainland,Mainland,Confirmed,"Short J. 1998. The extinction of rat-kangaroos (Marsupialia: Potoroidae) in New South Wales, Australia. Biological Conservation 86:365-377.","""""It was last recorded in New South Wales at some time prior to 1906 (Table 1). Wakefield (1967) lists seven specimens from Victoria with receival and registration dates of 1861, 1867, 1869, 1877, and three old skullsreregistered in 1902. Hence, there is no firm evidence of the species surviving in Victoria past the 1870s.""""",1870,1879,Victoria,Victoria,State,,Regional polygon,144.2788819,-36.85414477,Cats,1860,1830,Cats,10,49
pop_5,Bettongia gaimardi,Extinct from mainland,State,Confirmed,"Short J. 1998. The extinction of rat-kangaroos (Marsupialia: Potoroidae) in New South Wales, Australia. Biological Conservation 86:365-377.","""""It was last recorded in New South Wales at some time prior to 1906 (Table 1). Wakefield (1967) lists seven specimens from Victoria with receival and registration dates of 1861, 1867, 1869, 1877, and three old skullsreregistered in 1902. Hence, there is no firm evidence of the species surviving in Victoria past the 1870s.""""",1905,1905,New South Wales,NSW,State,,Regional polygon,147.0164814,-32.1593208,Cats,1880,1810,Cats,25,95
pop_10,Bettongia lesueur,Extinct from mainland,Mainland,Confirmed,"Short J. 1998. The extinction of rat-kangaroos (Marsupialia: Potoroidae) in New South Wales, Australia. Biological Conservation 86:365-377.","""""Burbidge (1995) reported that its decline began in the 19th century and it had disappeared from Victoria by 1863. It was last recorded in New South Wales in 1882 (Table 1). It persisted in the south-west of Western Australia until the 1930s (Kitchener and Vicker, 1981) and perhaps in parts of central Australia until the early 1960s (Burbidge et al., 1988).""""",1863,1863,Victoria,Victoria,State,,Regional polygon,144.2788819,-36.85414477,Cats,1860,1830,Cats,3,33
pop_11,Bettongia lesueur,Extinct from mainland,State,Confirmed,"Short J. 1998. The extinction of rat-kangaroos (Marsupialia: Potoroidae) in New South Wales, Australia. Biological Conservation 86:365-377.","""""Burbidge (1995) reported that its decline began in the 19th century and it had disappeared from Victoria by 1863. It was last recorded in New South Wales in 1882 (Table 1). It persisted in the south-west of Western Australia until the 1930s (Kitchener and Vicker, 1981) and perhaps in parts of central Australia until the early 1960s (Burbidge et al., 1988).""""",1882,1882,New South Wales,NSW,State,,Regional polygon,147.0164814,-32.1593208,Cats,1880,1810,Cats,2,72
pop_12,Bettongia lesueur,Extinct from mainland,State,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",Table 1,1892,1892,"Western Division, NSW",Wilcannia,Region,,Regional polygon,143.9853199,-31.43073893,Cats,1880,1830,Cats,12,62
pop_13,Bettongia lesueur,Extinct from mainland,State,Confirmed,"Short J. 1998. The extinction of rat-kangaroos (Marsupialia: Potoroidae) in New South Wales, Australia. Biological Conservation 86:365-377.","""""Burbidge (1995) reported that its decline began in the 19th century and it had disappeared from Victoria by 1863. It was last recorded in New South Wales in 1882 (Table 1). It persisted in the south-west of Western Australia until the 1930s (Kitchener and Vicker, 1981) and perhaps in parts of central Australia until the early 1960s (Burbidge et al., 1988).""""",1930,1939,South-west WA,Perth,Region,,Regional polygon,116.0152449,-33.99234937,Cats,1850,1830,Cats,80,109
pop_14,Bettongia lesueur,Extinct from mainland,Region,Unconfirmed,"Short J. 1998. The extinction of rat-kangaroos (Marsupialia: Potoroidae) in New South Wales, Australia. Biological Conservation 86:365-377.","""""Burbidge (1995) reported that its decline began in the 19th century and it had disappeared from Victoria by 1863. It was last recorded in New South Wales in 1882 (Table 1). It persisted in the south-west of Western Australia until the 1930s (Kitchener and Vicker, 1981) and perhaps in parts of central Australia until the early 1960s (Burbidge et al., 1988).""""",1960,1969,Central Australia,Alice Springs,Region,,Regional polygon,133.8566409,-23.62418079,Cats,1890,1870,Cats,70,99
