Species,Predator,IUCN_Red_List_status,Accused_by_IUCN_Red_List,Reference,Reference_ID,Cat_EPBC_threat_rating,Fox_EPBC_threat_rating_if_no_cat,Threat_rating_standardized,Latitude,Longitude,evidence_cat,evidence_fine_scale,direction,Is_there_predator_population_data,Is_there_prey_population_data,Control_site_or_spatial_variation,Confounders_or_alternatives,Sample_size_greater_than_1,Sample_size,BACI
Antechinus bellus,Cat,VU,1,"Stobo-Wilson, A.M., Stokeld, D., Einoder, L.D., Davies, H.F., Fisher, A., Hill, B.M., Mahney, T., Murphy, B.P., Scroggie, M.P., Stevens, A. and Woinarski, J.C.Z., 2020. Bottom-up and top-down processes influence contemporary patterns of mammal species richness in Australia's monsoonal tropics. Biological Conservation, 247, p.108638.",Stobo-Wilson et al 2020 Biological Conservation,High,,High,-12.46,130.84,Population,Spatial,1,yes,no,,,,,
Bettongia gaimardi,Cat,NT,1,"Evans, M.J., Batson, W.G., Gordon, I.J., Belton, E., Chaseling, T., Fletcher, D., Harrison, M., McElroy, T., Mungoven, A., Newport, J. and Pierson, J., 2021. The ‘Goldilocks Zone’of predation: the level of fox control needed to select predator resistance in a reintroduced mammal in Australia. Biodiversity and Conservation, 30, pp.1731-1752.",Evans et al 2021 Biodiversity and Conservation,High,,High,-35.28,148.9,Predation,Hunted_reintroduced,0,no,no,,,,,
Bettongia gaimardi,Cat,NT,1,"Fancourt, B.A., 2014. Rapid decline in detections of the Tasmanian bettong (Bettongia gaimardi) following local incursion of feral cats (Felis catus). Australian Mammalogy, 36(2), pp.247-253.",Fancourt 2014 Australian Mammalogy,High,,High,-43.01,146.54,Population,Timing,1,yes,yes,,no,no,,no
Bettongia gaimardi,Cat,NT,1,"Gardiner, R., Bain, G., Hamer, R., Jones, M.E. and Johnson, C.N., 2018. Habitat amount and quality, not patch size, determine persistence of a woodland-dependent mammal in an agricultural landscape. Landscape Ecology, 33, pp.1837-1849.",Gardiner et al 2018 Landscape Ecology,High,,High,-41.4391,147.1358,Population,Spatial,0,yes,yes,yes,yes,yes,,no
Bettongia gaimardi,Fox,NT,1,"Evans, M.J., Batson, W.G., Gordon, I.J., Belton, E., Chaseling, T., Fletcher, D., Harrison, M., McElroy, T., Mungoven, A., Newport, J. and Pierson, J., 2021. The ‘Goldilocks Zone’of predation: the level of fox control needed to select predator resistance in a reintroduced mammal in Australia. Biodiversity and Conservation, 30, pp.1731-1752.",Evans et al 2021 Biodiversity and Conservation,N/A,,N/A,-35.28,148.9,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia gaimardi,Fox,NT,1,"Evans, M.J., Batson, W.G., Gordon, I.J., Belton, E., Chaseling, T., Fletcher, D., Harrison, M., McElroy, T., Mungoven, A., Newport, J. and Pierson, J., 2021. The ‘Goldilocks Zone’of predation: the level of fox control needed to select predator resistance in a reintroduced mammal in Australia. Biodiversity and Conservation, 30, pp.1731-1752.",Evans et al 2021 Biodiversity and Conservation,N/A,,N/A,-35.28,148.9,Baiting,Baiting_temporal,1,no,yes,,,,,
Bettongia gaimardi,Fox,NT,1,"Short, J. 1998. The extinction of rat-kangaroos (Marsupialia: Potoroidae) in New South Wales, Australia. Biological Conservation 86: 365-377.",Short 1998 Biological Conservation,N/A,,N/A,-31.25,146.92,Population,Timing,1,yes,yes,no,no,yes,,no
Bettongia gaimardi,Fox,NT,1,"Evans, M.J., Batson, W.G., Gordon, I.J., Belton, E., Chaseling, T., Fletcher, D., Harrison, M., McElroy, T., Mungoven, A., Newport, J. and Pierson, J., 2021. The ‘Goldilocks Zone’of predation: the level of fox control needed to select predator resistance in a reintroduced mammal in Australia. Biodiversity and Conservation, 30, pp.1731-1752.",Evans et al 2021 Biodiversity and Conservation,N/A,,N/A,-35.28,148.9,Population,Temporal,0,yes,yes,no,no,no,,no
Bettongia lesueur,Cat,NT,1,"Christensen, P. and Burrows, N., 1995. Project desert dreaming: experimental reintroduction of mammals to the Gibson Desert, Western Australia. Reintroduction Biology of Australian and New Zealand Fauna’.(Ed. M. Serena.) pp, pp.199-207.",Christensen and Burrows 1995 Reintroduction Biology of Australian and New Zealand Fauna,Moderate,,Moderate,-24.96,125.56,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia lesueur,Cat,NT,1,"Moseby K, Peacock D, Read J. 2015. Catastrophic cat predation: a call for predator profiling in wildlife protection programs. Biological Conservation 191:331-340.",Moseby et al 2015 Biological Conservation,Moderate,,Moderate,-30.29,136.53,Predation,Hunted_reintroduced,0,no,no,,,,,
Bettongia lesueur,Cat,NT,1,"Moseby, K.E., Letnic, M., Blumstein, D.T. and West, R., 2018. Designer prey: can controlled predation accelerate selection for anti-predator traits in naïve populations?. Biological Conservation, 217, pp.213-221.",Moseby et al 2018 Biological Conservation,Moderate,,Moderate,-30.29,136.53,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia lesueur,Cat,NT,1,"Moseby, K.E., Letnic, M., Blumstein, D.T. and West, R., 2019. Understanding predator densities for successful co‐existence of alien predators and threatened prey. Austral Ecology, 44(3), pp.409-419.",Moseby et al 2019 Austral Ecology,Moderate,,Moderate,-30.29,136.53,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia lesueur,Cat,NT,1,"Moseby, K.E., Read, J.L., Paton, D.C., Copley, P., Hill, B.M. and Crisp, H.A., 2011. Predation determines the outcome of 10 reintroduction attempts in arid South Australia. Biological Conservation, 144(12), pp.2863-2872.",Moseby et al 2011 Biological Conservation,Moderate,,Moderate,-30.29,136.53,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia lesueur,Cat,NT,1,"Moyses, J., Hradsky, B., Tuft, K., Moseby, K., Golding, N. and Wintle, B., 2020. Factors influencing the residency of bettongs using one‐way gates to exit a fenced reserve. Austral Ecology, 45(7), pp.858-871.",Moyses et al 2020 Austral Ecology,Moderate,,Moderate,-30.29,136.53,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia lesueur,Cat,NT,1,"Short, J. and Turner, B., 2000. Reintroduction of the burrowing bettong Bettongia lesueur (Marsupialia: Potoroidae) to mainland Australia. Biological Conservation, 96(2), pp.185-196.",Short and Turner 2000 Biological Conservation,Moderate,,Moderate,-26.11,113.37,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia lesueur,Cat,NT,1,"Moseby, K.E., Letnic, M., Blumstein, D.T. and West, R., 2019. Understanding predator densities for successful co‐existence of alien predators and threatened prey. Austral Ecology, 44(3), pp.409-419.",Moseby et al 2019 Austral Ecology,Moderate,,Moderate,-30.29,136.53,Population,Temporal,0,yes,yes,no,yes,no,,no
Bettongia lesueur,Fox,NT,1,"Christensen, P. and Burrows, N., 1995. Project desert dreaming: experimental reintroduction of mammals to the Gibson Desert, Western Australia. Reintroduction Biology of Australian and New Zealand Fauna’.(Ed. M. Serena.) pp, pp.199-207.",Christensen and Burrows 1995 Reintroduction Biology of Australian and New Zealand Fauna,Not assessed,Major,Moderate,-24.96,125.56,Predation,Hunted_reintroduced,0,no,no,,,,,
Bettongia lesueur,Fox,NT,1,"Moseby, K.E., Letnic, M., Blumstein, D.T. and West, R., 2019. Understanding predator densities for successful co‐existence of alien predators and threatened prey. Austral Ecology, 44(3), pp.409-419.",Moseby et al 2019 Austral Ecology,Not assessed,Major,Moderate,-30.29,136.53,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia lesueur,Fox,NT,1,"Short, J. and Turner, B., 2000. Reintroduction of the burrowing bettong Bettongia lesueur (Marsupialia: Potoroidae) to mainland Australia. Biological Conservation, 96(2), pp.185-196.",Short and Turner 2000 Biological Conservation,Not assessed,Major,Moderate,-26.11,113.37,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia lesueur,Fox,NT,1,"Copley, P., 1999. Natural histories of Australia’s stick-nest rats, genus Leporillus (Rodentia: Muridae). Wildlife Research, 26(4), pp.513-539.",Copley 1999 Wildlife Research,Not assessed,Major,Moderate,-34.5,139.87,Population,Timing,0,no,yes,,,,,
Bettongia lesueur,Fox,NT,1,"Short, J. 1998. The extinction of rat-kangaroos (Marsupialia: Potoroidae) in New South Wales, Australia. Biological Conservation 86: 365-377.",Short 1998 Biological Conservation,Not assessed,Major,Moderate,-31.25,146.92,Population,Timing,1,yes,yes,no,no,yes,,no
Bettongia lesueur,Fox,NT,1,"Moseby, K.E., Letnic, M., Blumstein, D.T. and West, R., 2019. Understanding predator densities for successful co‐existence of alien predators and threatened prey. Austral Ecology, 44(3), pp.409-419.",Moseby et al 2019 Austral Ecology,Not assessed,Major,Moderate,-30.29,136.53,Population,Exclusion,1,yes,yes,no,yes,no,,no
Bettongia penicillata,Cat,CR,1,"Marlow, N.J., Thomas, N.D., Williams, A.A., Macmahon, B., Lawson, J., Hitchen, Y., Angus, J. and Berry, O., 2015. Cats (Felis catus) are more abundant and are the dominant predator of woylies (Bettongia penicillata) after sustained fox (Vulpes vulpes) control. Australian Journal of Zoology, 63(1), pp.18-27.",Marlow et al 2015 Australian Journal of Zoology,High/Very High,,High/Very High,-32.55,117.33,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia penicillata,Cat,CR,1,"Marlow, N.J., Thomas, N.D., Williams, A.A., Macmahon, B., Lawson, J., Hitchen, Y., Angus, J. and Berry, O., 2015. Cats (Felis catus) are more abundant and are the dominant predator of woylies (Bettongia penicillata) after sustained fox (Vulpes vulpes) control. Australian Journal of Zoology, 63(1), pp.18-27.",Marlow et al 2015 Australian Journal of Zoology,High/Very High,,High/Very High,-32.78,116.97,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia penicillata,Cat,CR,1,"Marlow, N.J., Thomas, N.D., Williams, A.A., Macmahon, B., Lawson, J., Hitchen, Y., Angus, J. and Berry, O., 2015. Cats (Felis catus) are more abundant and are the dominant predator of woylies (Bettongia penicillata) after sustained fox (Vulpes vulpes) control. Australian Journal of Zoology, 63(1), pp.18-27.",Marlow et al 2015 Australian Journal of Zoology,High/Very High,,High/Very High,-33.164,117.08,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia penicillata,Cat,CR,1,"Marlow, N.J., Thomas, N.D., Williams, A.A., Macmahon, B., Lawson, J., Hitchen, Y., Angus, J. and Berry, O., 2015. Cats (Felis catus) are more abundant and are the dominant predator of woylies (Bettongia penicillata) after sustained fox (Vulpes vulpes) control. Australian Journal of Zoology, 63(1), pp.18-27.",Marlow et al 2015 Australian Journal of Zoology,High/Very High,,High/Very High,-33.163,117.05,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia penicillata,Cat,CR,1,"Martin, S., Ball, S. and Peeters, P., 2006. Reintroduction of the brush-tailed Bettong (Bettongia penicillata ogilbyi) into Lincoln National Park.Program review from September 1999 to July 2004. Department for Environment and Heritage, Government of South Australia.",Martin et al 2006 Report Department for Environment and Heritage,High/Very High,,High/Very High,-34.87,135.88,Predation,Hunted_reintroduced,1,no,no,,,,,
