Study_ID,Reference,Prey_Species,Study_site,Lat,Long,Predator_Species,Correlation,Site,Site_note,Time,Time_note,Predator,Prey,Predator_Units,Prey_Units,Data_source,Inclusion_problem,Comments
ES_1,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Notomys fuscus,"Strzelecki Desert, SA, QLD",-27.7,140.41,Cat,Spatial,1,BL,,,0,4.777777778,Tracking,Trapping,"Data S1, Experiment 1",,Averaged plots in each site
ES_1,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Notomys fuscus,"Strzelecki Desert, SA, QLD",-27.7,140.41,Cat,Spatial,2,O,,,0.073333333,0,Tracking,Trapping,"Data S1, Experiment 1",,Averaged plots in each site
ES_1,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Notomys fuscus,"Strzelecki Desert, SA, QLD",-27.7,140.41,Cat,Spatial,3,O2,,,0.5,0,Tracking,Trapping,"Data S1, Experiment 1",,Averaged plots in each site
ES_1,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Notomys fuscus,"Strzelecki Desert, SA, QLD",-27.7,140.41,Cat,Spatial,4,Q,,,0,4.75,Tracking,Trapping,"Data S1, Experiment 1",,Averaged plots in each site
ES_1,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Notomys fuscus,"Strzelecki Desert, SA, QLD",-27.7,140.41,Cat,Spatial,5,Q2,,,0.198,1.533333333,Tracking,Trapping,"Data S1, Experiment 1",,Averaged plots in each site
ES_1,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Notomys fuscus,"Strzelecki Desert, SA, QLD",-27.7,140.41,Cat,Spatial,6,S1,,,0.166666667,2.333333333,Tracking,Trapping,"Data S1, Experiment 1",,Averaged plots in each site
ES_1,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Notomys fuscus,"Strzelecki Desert, SA, QLD",-27.7,140.41,Cat,Spatial,7,S2,,,0,0.714285714,Tracking,Trapping,"Data S1, Experiment 1",,Averaged plots in each site
ES_2,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Notomys fuscus,"Strzelecki Desert, SA, QLD",-27.7,140.41,Fox,Spatial,1,BL,,,0,4.777777778,Tracking,Trapping,"Data S1, Experiment 1",,Averaged plots in each site
ES_2,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Notomys fuscus,"Strzelecki Desert, SA, QLD",-27.7,140.41,Fox,Spatial,2,O,,,0.073333333,0,Tracking,Trapping,"Data S1, Experiment 1",,Averaged plots in each site
ES_2,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Notomys fuscus,"Strzelecki Desert, SA, QLD",-27.7,140.41,Fox,Spatial,3,O2,,,0,0,Tracking,Trapping,"Data S1, Experiment 1",,Averaged plots in each site
ES_2,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Notomys fuscus,"Strzelecki Desert, SA, QLD",-27.7,140.41,Fox,Spatial,4,Q,,,0,4.75,Tracking,Trapping,"Data S1, Experiment 1",,Averaged plots in each site
ES_2,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Notomys fuscus,"Strzelecki Desert, SA, QLD",-27.7,140.41,Fox,Spatial,5,Q2,,,0,1.533333333,Tracking,Trapping,"Data S1, Experiment 1",,Averaged plots in each site
ES_2,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Notomys fuscus,"Strzelecki Desert, SA, QLD",-27.7,140.41,Fox,Spatial,6,S1,,,0,2.333333333,Tracking,Trapping,"Data S1, Experiment 1",,Averaged plots in each site
ES_2,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Notomys fuscus,"Strzelecki Desert, SA, QLD",-27.7,140.41,Fox,Spatial,7,S2,,,0.188571429,0.714285714,Tracking,Trapping,"Data S1, Experiment 1",,Averaged plots in each site
ES_3,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2012,,1.1805,123.81,Tracking,Trapping,Figure 3A,,Averaged to year
ES_3,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2013,,0.309,147.917,Tracking,Trapping,Figure 3A,,Averaged to year
ES_3,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2014,,0.2085,177.679,Tracking,Trapping,Figure 3A,,Averaged to year
ES_3,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2015,,0.232,168.155,Tracking,Trapping,Figure 3A,,Averaged to year
