Study_ID,Reference,Prey_Species,Predator_Species,Correlation,Site,Lat,Long,n,r,yi,vi
ES_3,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Cat,Temporal,,-23.521,149.219,5,-0.594312512,-0.684307382,0.5
ES_4,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Cat,Temporal,,-23.521,149.219,4,-0.25072363,-0.256184833,1
ES_5,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Cat,Temporal,,-23.521,149.219,5,-0.839342663,-1.218944891,0.5
ES_6,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Cat,Temporal,,-23.521,149.219,4,0.342544641,0.356972606,1
ES_8,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Cat,Temporal,,-23.521,149.219,4,0.023447772,0.023452071,1
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Cat,Temporal,,-31.37,138.59,54,0.378881773,0.398753347,0.019607843
ES_10,"Körtner, G., Gresser, S. and Harden, B., 2003. Does fox baiting threaten the spotted-tailed quoll, Dasyurus maculatus?. Wildlife Research, 30(2), pp.111-118.",Dasyurus maculatus,Fox,Temporal,Werrikimbe,-31.12,152.1,6,-0.437568509,-0.469219548,0.333333333
ES_11,"Körtner, G., Gresser, S. and Harden, B., 2003. Does fox baiting threaten the spotted-tailed quoll, Dasyurus maculatus?. Wildlife Research, 30(2), pp.111-118.",Dasyurus maculatus,Cat,Temporal,Werrikimbe,-31.12,152.1,6,0.808861676,1.123727821,0.333333333
ES_14,"Moseby, K.E., Letnic, M., Blumstein, D.T. and West, R., 2019. Understanding predator densities for successful co‐existence of alien predators and threatened prey. Austral Ecology, 44(3), pp.409-419.",Bettongia lesueur,Cat,Temporal,,-30.29,136.53,45,0.860092558,1.293700225,0.023809524
ES_15,"Moseby, K.E., Letnic, M., Blumstein, D.T. and West, R., 2019. Understanding predator densities for successful co‐existence of alien predators and threatened prey. Austral Ecology, 44(3), pp.409-419.",Macrotis lagotis,Cat,Temporal,,-30.29,136.53,25,0.656990399,0.787499893,0.045454545
